difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What type of number system is binary?,A base-10 positional system using digits 0 through 9,A base-2 positional counting system using only 0 and 1,A base-16 system used to represent hexadecimal values,A base-8 system used in legacy computing environments,B,Binary is a base-2 positional counting system where each place value is a power of 2 (1; 2; 4; 8; 16...) and only the digits 0 and 1 are used.,binary number system,base-2 positional counting with digits 0 and 1,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 12 - What Is Binary/Transcript.md
easy,Why do computers use binary rather than decimal?,Binary calculations are faster in software than decimal,Binary was required by early government computing standards,Binary maps directly to transistor on/off states making it natural for hardware,Binary is easier for humans to read and understand,C,Computers are built from transistors — tiny switches that are either on or off. These two physical states map perfectly to binary 1 and 0.,binary hardware basis,transistor on/off states map to binary 1 and 0,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 12 - What Is Binary/Transcript.md
easy,What is a bit?,A unit of data storage equal to 1000 bytes,A single binary digit with a value of either 0 or 1,An 8-character grouping of binary values,A multiplier used in IPv4 subnet calculations,B,A bit (binary digit) is the smallest unit of data in a computer. It holds exactly one value: 0 or 1.,binary terminology,bit is a single binary digit with value 0 or 1,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md
easy,How many bits make up one byte?,4,16,32,8,D,A byte is exactly 8 bits. With 8 bits; the maximum value is 255 and there are 256 total distinct values (2^8).,binary terminology,byte equals 8 bits with range 0 to 255,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 13 - representing numbers and letters with binary/Transcript.md
easy,What decimal value does the binary number 10000000 represent?,64,256,128,16,C,10000000 has a 1 only in the 2^7 position. 2^7 = 128. All other bits are 0 so no other values are added.,binary to decimal conversion,add place values only where bits are 1,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 14 - How to convert binary to decimal/Transcript.md
easy,What decimal value does uppercase A have in ASCII encoding?,97,41,128,65,D,In ASCII; uppercase A is assigned decimal value 65; which in binary is 01000001. Lowercase a is 97.,ascii encoding,uppercase A maps to decimal 65 in ascii,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 12 - What Is Binary/Transcript.md
easy,What is a VLAN?,A protocol that assigns IP addresses automatically to switch ports,A physical cable standard for connecting switches in a data center,A routing protocol used to forward traffic between different IP networks,A logical grouping of switch ports that creates a separate broadcast domain regardless of physical location,D,VLANs provide logical separation on managed switch hardware. Ports grouped into a VLAN share a broadcast domain but are isolated from other VLANs at Layer 2.,vlan definition,logical segmentation on shared switch hardware,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 7/VLAN - Virtual Local Area Network.md
easy,Which IEEE standard governs VLAN frame tagging on trunk links?,802.3,802.1D,802.11,802.1Q,D,IEEE 802.1Q (dot1q) is the standard that defines VLAN tagging. It inserts a VLAN tag into Ethernet frames on trunk links so receiving switches know which VLAN each frame belongs to.,vlan standards,ieee 802.1q dot1q governs vlan frame tagging,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 7/VLAN - Virtual Local Area Network.md
easy,What type of switch port connects an endpoint device such as a PC or printer?,Trunk port,Uplink port,Mirror port,Access port,D,An access port connects endpoint devices and carries only one untagged VLAN. The device receives frames without any 802.1Q tag attached.,access vs trunk ports,access port connects endpoints and carries one vlan untagged,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 7/VLAN - Virtual Local Area Network.md
easy,What is the primary purpose of Spanning Tree Protocol (STP)?,To assign IP addresses to switches automatically,To encrypt traffic between VLAN segments,To provide redundant default gateways for end hosts,To prevent Layer 2 loops that would cause broadcast storms on switched networks,D,Redundant physical links between switches can create Layer 2 loops. STP prevents loops by selecting one active path and blocking redundant alternatives until a failure requires them.,spanning tree protocol,prevents layer 2 loops caused by redundant switch links,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration, VLANs, STP, PoE, and Troubleshooting.md
medium,What is the decimal equivalent of binary 10110110?,174,192,166,182,D,10110110 = (1x128) + (0x64) + (1x32) + (1x16) + (0x8) + (1x4) + (1x2) + (0x1) = 128 + 32 + 16 + 4 + 2 = 182.,binary to decimal conversion,add place values only where bits are 1,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 14 - How to convert binary to decimal/Transcript.md
medium,How many possible VLAN IDs does the 12-bit VLAN ID field in 802.1Q support?,256,1024,2048,4096,D,12 bits can represent 2^12 = 4096 values. VLAN IDs range from 0 to 4095; giving 4096 possible values in total.,vlan standards,12-bit vlan id field supports 4096 values from 0 to 4095,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 7/VLAN - Virtual Local Area Network.md
medium,What is the default behavior of the native VLAN on a Cisco 802.1Q trunk?,Native VLAN frames are dropped because they have no tag,Native VLAN frames are double-tagged for security,Native VLAN is always encrypted on trunk ports,Native VLAN frames are sent untagged across the trunk,D,By default on Cisco switches; VLAN 1 is the native VLAN. Frames belonging to the native VLAN are sent across trunk links without an 802.1Q tag. This can be changed for security reasons.,native vlan behavior,native vlan frames transmitted untagged on 802.1q trunk,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 7/VLAN - Virtual Local Area Network.md
medium,What is the key difference between a static VLAN and a dynamic VLAN?,Static VLANs use 802.1Q tagging while dynamic VLANs use ISL tagging,Static VLANs require a DHCP server while dynamic VLANs use manual IP assignment,Static VLANs are permanent while dynamic VLANs reset on every reboot,Static VLANs assign ports manually while dynamic VLANs assign membership based on MAC address or username,D,Static VLANs are the most common and predictable — an admin manually assigns each port. Dynamic VLANs assign VLAN membership automatically based on MAC address or user credentials preserving membership when devices move.,vlan membership methods,static manual assignment vs dynamic mac/user-based assignment,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration, VLANs, STP, PoE, and Troubleshooting.md
medium,What are the three VLAN types described in Essential Chapter 8?,Access-based; trunk-based; and hybrid VLAN,Static; dynamic; and encrypted VLAN,Layer 2; Layer 3; and routed VLAN,Port-based; tag-based; and protocol-based VLAN,D,Essential Chapter 8 defines three VLAN types: port-based (assignment by port number); tag-based/802.1Q (VLAN ID in frame header); and protocol-based (membership by protocol type in the frame).,vlan types,port-based; tag-based 802.1q; and protocol-based vlan types,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration, VLANs, STP, PoE, and Troubleshooting.md
medium,What is a BPDU and what role does it play in STP?,A broadcast packet used by DHCP servers to assign IPs to switches,A type of Ethernet frame used to carry VLAN tags across trunk links,A keepalive message sent by routers to confirm BGP peer availability,A protocol data unit exchanged between switches to elect the root bridge and compute loop-free paths,D,BPDUs (Bridge Protocol Data Units) are messages switches exchange to run STP. They carry information for root bridge election; best path computation; and topology change notification (TCN/TCA).,spanning tree protocol,bpdu supports root election and loop-free path computation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration, VLANs, STP, PoE, and Troubleshooting.md
medium,According to IEEE 802.3af how much maximum power per port does standard PoE deliver?,7.5W,30W,60W,15.4W,D,IEEE 802.3af (standard PoE) delivers up to 15.4W per port. PoE+ (802.3at) increases this to 30W; and PoE++ (802.3bt) goes to 60W or 100W depending on type.,poe standards,802.3af delivers up to 15.4w per port,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Essential - Chapter 8 Introduction to Switch Configuration/Essential Chapter 8 - Switch Configuration, VLANs, STP, PoE, and Troubleshooting.md
