difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What address type does a Layer 2 switch use to forward Ethernet frames?,MAC address,IP address,TCP port,OSPF cost,A,A Layer 2 switch forwards frames by using destination MAC addresses.,layer 2 switching,mac forwarding,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What address type does a Layer 3 device use when routing packets?,IP address,MAC address,VLAN name,Frame checksum,A,A Layer 3 device routes packets by using destination IP addresses.,layer 3 routing,ip forwarding,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,Which OSI layer is the Data Link layer?,Layer 2,Layer 3,Layer 4,Layer 7,A,The Data Link layer is Layer 2 of the OSI model.,osi model,data link layer,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,Which OSI layer is the Network layer?,Layer 3,Layer 1,Layer 2,Layer 6,A,The Network layer is Layer 3 of the OSI model.,osi model,network layer,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What is another common name for a Layer 3 switch?,Multilayer switch,Repeater,Media converter,Wireless client,A,A Layer 3 switch is also called a multilayer switch.,layer 3 switch,alternate name,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What two broad functions can a Layer 3 switch perform?,Switch frames and route packets,Encrypt emails and resolve names,Assign ports and print logs,Filter spam and host websites,A,A Layer 3 switch can perform Layer 2 switching and Layer 3 routing.,layer 3 switch,combined functions,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What does a switch learn from incoming Ethernet frames?,Source MAC addresses,Source TCP ports,Source DNS records,Source OSPF areas,A,Switches learn source MAC addresses and store them in a MAC address table.,layer 2 switching,mac learning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What table does a switch use to associate MAC addresses with ports?,MAC address table,Routing table,ARP table,DNS table,A,A MAC address table maps learned MAC addresses to switch ports.,layer 2 switching,mac address table,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What does a routing table list?,Known networks and how to reach them,MAC addresses and switch ports,Usernames and passwords,Domain names and records,A,A routing table stores destination networks and forwarding information.,routing table,purpose,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
easy,What command commonly enables routing on a Cisco Layer 3 switch?,ip routing,no switchport,show vlan brief,copy running-config,A,The ip routing command enables Layer 3 routing behavior on many Cisco switches.,layer 3 switch,ip routing command,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/MASTER LIST/Weekly AI Master Lists/Week 13 - AI Master List.md
