difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,Which statement best describes how dynamic routing updates a router's routing table?,Routers learn routes automatically from other routers,Routers require a manual route for every remote network,Routers stop using routing tables,Routers forward only broadcast frames,A,Dynamic routing lets routers exchange reachability information instead of relying only on manual entries.,dynamic routing,automatic route learning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 23 - Dynamic Routing Protocols/Transcript.md
easy,Which three route sources commonly populate a routing table?,Connected routes static routes and dynamic routes,ARP entries DNS records and VLANs,TCP ports MAC addresses and frames,Host routes loopbacks and trunks,A,Routers commonly learn routes from connected networks manual static entries and dynamic protocols.,route sources,connected static dynamic,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 23 - Dynamic Routing Protocols/Transcript.md
easy,Which routing protocol uses hop count to compare paths to the same destination network?,RIP,OSPF,EIGRP,BGP,A,RIP compares routes by hop count.,rip metric,hop count,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List C - Alex's Personal Notes/Lecture Week 12/Lecture Week 12.md
easy,What is route summarization also called?,Route aggregation,Route poisoning,Link discovery,Traffic shaping,A,Route summarization is another name for route aggregation.,route summarization,alternate name,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 24 - Route Summarization/Transcript.md
easy,What is the main purpose of route summarization?,Reduce the number of routes in a routing table,Increase the number of host addresses,Replace ARP on a LAN,Force equal-cost paths,A,Route summarization reduces routing-table size by combining routes.,route summarization,purpose of summarization,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 24 - Route Summarization/Transcript.md
easy,What does a summary route do to several smaller routes?,Combines them into one broader route,Turns them into host routes,Deletes the destination network,Converts them to MAC addresses,A,A summary route combines several smaller routes into one broader advertisement.,route summarization,combines smaller routes,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 24 - Route Summarization/Transcript.md
easy,In IPv4 route summarization, what happens to the destination-address bits that do not match after the shared prefix ends?,They become 0 in the summary address,They become 1 in the summary address,They are removed from the IP header,They become the gateway address,A,Differing bits are zeroed after the common prefix is kept.,route summarization,differing bits zeroed,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 24 - Route Summarization/Transcript.md
easy,In a summary subnet mask, what binary value is assigned to the prefix bits that are identical across all summarized routes?,1,0,255 only,The next-hop address,A,Matching bits become 1 in the summary mask because they define the fixed prefix.,route summarization,matching bits in mask,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 24 - Route Summarization/Transcript.md
easy,"In IPv4 routing, what does a /24 prefix mean for destination-address matching?",Match the first 24 bits,Match the first 24 hosts only,Match 24 different networks,Match the last 24 bits,A,A slash 24 route matches the first 24 bits of the destination address.,prefix length,slash 24 meaning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,"In IPv4 routing, what does a /16 prefix mean for destination-address matching?",Match the first 16 bits,Match the first 16 hosts only,Match only Class B networks,Match the last 16 bits,A,A slash 16 route matches the first 16 bits of the destination address.,prefix length,slash 16 meaning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,"In IPv4 routing, what does a /8 prefix mean for destination-address matching?",Match the first 8 bits,Match the first 8 hosts only,Match exactly 8 networks,Match the last 8 bits,A,A slash 8 route matches the first 8 bits of the destination address.,prefix length,slash 8 meaning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,"In IPv4 routing, what does a /0 prefix mean for destination-address matching?",Match zero bits,Match the first zero octets only,Match only local traffic,Match broadcast traffic,A,A slash 0 route matches every destination because it requires zero bits to match.,prefix length,slash 0 meaning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,Why does a hierarchical router design usually scale better than a linear router chain?,It makes the network easier to scale,It removes the need for routing tables,It forces every path to use RIP,It prevents subnetting,A,Hierarchical design makes large routed networks easier to grow.,router hierarchy,reason for hierarchy,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,What network-growth benefit does a hierarchical router design provide when new branches are added?,New branches can connect into aggregation more easily,Every router becomes directly connected to every other router,Summary routes are no longer needed,Default routes stop working,A,Hierarchies make it easier to add new routed branches.,router hierarchy,scaling benefit,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,What failure-isolation benefit does a hierarchical router design provide?,A branch failure is more likely to stay isolated,A single failure always brings down the whole network,All routers automatically become redundant,Routing tables disappear during faults,A,Hierarchical branches can fail without necessarily breaking other branches.,router hierarchy,failure isolation,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
easy,Why can a linear router layout create a less consistent path experience for network users?,Different destinations may cross different numbers of routers,It removes all dynamic routing,It disables route summarization,Every host uses the same VLAN,A,Linear designs often create uneven path lengths and uneven user experience.,router hierarchy,linear inconsistency,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/courses/NETC-121/notes-content/Notes List A - Video Content/Video 25 - Router Hierarchies and Default Routes/Transcript.md
