difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,How many layers does the OSI model have?,4,5,7,9,C,The OSI model has 7 layers: Physical; Data Link; Network; Transport; Session; Presentation; Application.,osi stack overview,application; presentation; session; transport; network; data link; physical,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,What does ARP stand for?,Address Resolution Protocol,Automatic Routing Protocol,Application Response Procedure,Advanced Relay Protocol,A,ARP = Address Resolution Protocol — it maps a known IPv4 address to the device's MAC address.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,At which OSI layer do routers operate?,Layer 1,Layer 2,Layer 3,Layer 4,C,Routers operate at Layer 3 (Network) using IP addresses to route packets between LANs.,layer-3 role,routers move packets between lans using ip addressing,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
easy,What type of address does ARP resolve a known IP address into?,Port number,MAC address,Domain name,Subnet mask,B,ARP resolves a known IP address to the corresponding MAC address on the local network segment.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,How many bits make up a MAC address?,32,48,64,128,B,A MAC address is 48 bits long split into the OUI (vendor) portion and the NIC-specific portion.,mac address structure,48-bit address split into oui (vendor) and nic-specific portions,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/MAC Addresses.md
easy,What is a protocol in networking?,A type of physical cable connector,Communication rules covering formatting; transmission; and processing,A routing table entry format,A subnet mask encoding scheme,B,A protocol is a formal set of communication rules defining how data is formatted transmitted and processed.,protocol definition,communication rules for formatting; transmission; and processing,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,Which OSI layer handles MAC address delivery within a LAN?,Layer 1,Layer 2,Layer 3,Layer 4,B,Layer 2 (Data Link) uses MAC addresses to deliver frames between devices inside a local network.,layer-2 role,switches/nics deliver frames inside a lan using mac addresses,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
medium,What are the first three bytes of a MAC address called?,NIC identifier,Device serial number,OUI (Organizationally Unique Identifier),Frame delimiter,C,The first 3 bytes of a MAC address are the OUI which identifies the hardware manufacturer.,mac address structure,oui (vendor) and nic-specific portions,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/MAC Addresses.md
medium,In which direction does data travel through the OSI stack during transmission?,Up the stack from Physical to Application,Down the stack from Application to Physical,Sideways between same-layer peers only,Across Layer 3 to each LAN segment,B,During transmission the data path goes down the OSI stack; during reception it travels up the stack.,layer direction model,transmit path goes down stack; receive path goes up stack,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,What is RARP and what is it used for?,A modern path-vector routing protocol,A legacy reverse mapping protocol that requests an IP address from a known MAC,A DNS request record type,A multicast group management protocol,B,RARP (Reverse ARP) is a legacy protocol where a device broadcasts its MAC to request an IP address from a server.,rarp function,legacy reverse mapping from mac to ip request model,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,Which standards body publishes the IEEE 802.3 Ethernet standard?,IETF,IANA,ISO,IEEE,D,The IEEE (Institute of Electrical and Electronics Engineers) is responsible for the 802.3 Ethernet standard.,standards bodies,ieee; ietf; iso; and iana roles in networking consistency,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,What does an ARP cache store?,Port-to-application number mappings,IP-to-MAC address mappings maintained by each local device,Dynamic routing table entries,DNS A record responses,B,Each device maintains a local ARP cache that maps known IP addresses to their corresponding MAC addresses.,arp table/cache,local database of ip-to-mac mappings maintained by each device,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,What is the key distinction between a networking standard and a networking protocol?,Standards are hardware; protocols are software,Standards are formal published specifications enabling interoperability between different vendors,Standards are always proprietary; protocols are always open,Standards replace protocols entirely in modern networks,B,A standard is a formally published specification ensuring different vendors' implementations work together.,standard definition,formal published specification enabling interoperability,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,What is IANA's role in the global networking ecosystem?,Designing physical cable and connector standards,Coordinating global distribution of IP addresses and protocol number assignments,Publishing the Ethernet frame definition and timing rules,Testing new network protocols in controlled laboratory environments,B,IANA (Internet Assigned Numbers Authority) coordinates global IP address allocation and protocol parameter registries.,standards bodies,ieee; ietf; iso; and iana roles in networking consistency,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
medium,Which IP address range indicates a device failed to get a DHCP address and self-assigned an APIPA address?,192.168.x.x,10.x.x.x,169.254.x.x,172.16.x.x,C,APIPA (Automatic Private IP Addressing) assigns a 169.254.x.x address when DHCP is unreachable.,ipv4 examples,private; loopback; and apipa-style formats,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,Why do routers not forward ARP broadcasts between network segments?,ARP uses TCP which routers are configured to block,ARP is a Layer 2 broadcast and routers segment Layer 2 broadcast domains,ARP is a Layer 3 protocol handled by routing tables,Routers cannot read or process MAC addresses,B,Routers operate at Layer 3 and segment broadcast domains preventing Layer 2 ARP floods from propagating.,arp function,resolves ipv4 address to mac address in local network,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,In classful IPv4 what default subnet mask does a Class B network use?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.128,B,Class B uses a /16 default mask (255.255.0.0) supporting up to 65534 hosts per network.,classful addressing model,a/b/c ranges and default masks,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
hard,What does an IPv4 address become when all host bits are set to binary 1?,It becomes a network address identifying the subnet,It becomes the directed broadcast address for that subnet,It becomes a loopback address,It becomes an APIPA address,B,All host bits set to 1 produce the broadcast address — frames are delivered to all hosts on that subnet.,reserved address behavior in subnet,all-ones host bits = broadcast,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,What does OSI Layer 1 (Physical) handle in network communications?,IP address routing between networks,Frame delivery using MAC addresses,Physical signaling over cables and connectors,Session establishment and teardown,C,Layer 1 handles the physical medium — electrical voltage levels; light intensity for fiber; and radio waves for wireless.,layer-1 role,physical signaling over media/connectors (for example rj-45; copper; fiber),/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 2 Network Fundamentals/OSI Model Layers 1-3.md
medium,What is the primary purpose of an IP address?,To identify the physical hardware manufacturer of a NIC,A logical identifier that allows hosts to be located and routed to on a network,To replace the MAC address at all protocol layers,To identify the application port number on a destination host,B,An IP address is a logical identifier used for routing — it tells the network how to find and deliver to a host.,ip address purpose,logical identifier used for host/network routing context,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
easy,Which IPv4 address is an example of a private address?,8.8.8.8,198.51.100.1,172.16.5.10,100.64.0.1,C,172.16.5.10 falls in the 172.16.0.0/12 RFC1918 private range. Private ranges are 10/8; 172.16/12; and 192.168/16.,ipv4 examples,private; loopback; and apipa-style formats,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,In classful IPv4 which class covers the range 10.0.0.0 and uses a default /8 subnet mask?,Class B,Class C,Class A,Class D,C,Class A spans 1.0.0.0 to 126.255.255.255 with a /8 default mask — the 10.0.0.0 block is a Class A private range.,classful addressing model,a/b/c ranges and default masks,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,In an IPv4 subnet what does an address with all host bits set to binary 0 represent?,The first usable host address on the subnet,The broadcast address of the subnet,The network identifier — not assignable to any host,The loopback address for that subnet,C,All host bits = 0 produces the network address — it identifies the subnet itself and cannot be assigned to a host.,reserved address behavior in subnet,all-zeros host bits = network address; all-ones host bits = broadcast,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 2/Week 2 Notes.md
medium,What is a networking standard?,A hardware component specification with no software component,A formal published specification that enables interoperability between different vendors' implementations,A proprietary protocol owned and controlled by a single manufacturer,A government security policy mandated for all networks,B,A standard is a formally published document ensuring equipment from different manufacturers works together.,standard definition,formal published specification enabling interoperability,/home/citadel/Documents/NETC-121/Notes List B - Textbook Content/Textbook 2 - Chapter 1 Protocols and Standards/Network Protocols.md
easy,What is the name of OSI Layer 4 and what is its primary function?,Network — routes packets between LANs using IP addresses,Data Link — delivers frames using MAC addresses,Transport — provides end-to-end data delivery between hosts,Session — establishes and terminates communication sessions,C,OSI Layer 4 is the Transport layer. It handles end-to-end delivery between source and destination hosts — TCP and UDP both operate here.,osi stack overview,application; presentation; session; transport; network; data link; physical,/home/citadel/Documents/citavault/NETC-121/MASTER LIST/Master List.md
