"difficulty","question","choice_a","choice_b","choice_c","choice_d","correct_choice","explanation","concept_key","aspect_key","source_path"
"easy","What address type does a Layer 3 switch use when making a routing decision?","IP address","MAC address","SSID","Port number","A","A Layer 3 switch uses destination IP addresses when routing packets between networks.","layer 3 switch","routing address type","courses/NETC-121/notes-content/Notes List C - Alex's Personal Notes/Lecture Week 14/Lecture Week 14.md"
"easy","What address type does a switch use when forwarding a frame inside one VLAN?","MAC address","IP address","Subnet mask","SSID","A","Layer 2 forwarding inside a VLAN is based on destination MAC addresses.","layer 2 switching","frame forwarding address type","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What two main jobs can a Layer 3 switch perform?","Switch frames and route packets","Assign hostnames and resolve DNS","Encrypt traffic and issue certificates","Measure wireless signal strength only","A","A Layer 3 switch combines Layer 2 switching with Layer 3 routing.","layer 3 switch","combined functions","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What kind of device is needed for communication between different IP subnets?","A Layer 3 device","A patch panel","A hub","A straight-through cable only","A","Traffic between different IP subnets requires routing by a Layer 3 device.","routing fundamentals","layer 3 requirement","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What is the main purpose of a switched virtual interface (SVI) on a Layer 3 switch?","Provide a Layer 3 interface for a VLAN","Store MAC addresses for a VLAN","Disable VLAN tagging","Replace every access port","A","An SVI gives a VLAN a Layer 3 interface that can be used for routing.","svi","purpose","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What IP setting do hosts in a VLAN usually use to reach remote networks?","Default gateway","Loopback address","Broadcast address","APIPA address","A","Hosts use their default gateway to send traffic off the local subnet.","default gateway","host remote reachability","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What command mode creates an SVI such as VLAN 10 on a Cisco switch?","interface vlan 10","ip routing","show vlan 10","router rip","A","The interface vlan command creates a switched virtual interface.","svi","creation command","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","Which Cisco command commonly enables Layer 3 routing on a switch?","ip routing","switchport mode trunk","show ip route","interface range","A","On many Cisco multilayer switches, ip routing enables Layer 3 forwarding.","layer 3 switch","enable routing command","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What does a routing table contain?","Known networks and how to reach them","MAC addresses and ports only","Wireless channels only","Console login attempts","A","A routing table stores destination networks and next-hop or exit-interface information.","routing table","basic purpose","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What does a switch learn from the source field of an incoming Ethernet frame?","The source MAC address","The source subnet mask","The default gateway","The SSID","A","A switch learns source MAC addresses and adds them to its MAC table.","switching","mac learning","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What table does a switch use to map MAC addresses to switch ports?","MAC address table","Routing table","ARP table","Frequency table","A","A switch uses a MAC address table to decide which port should receive a known unicast frame.","switching","mac table purpose","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","Which device is usually better suited for WAN links and internet edge roles?","Router","Hub","Layer 1 repeater","Basic unmanaged switch","A","Routers usually provide broader WAN and edge capabilities than Layer 3 switches.","router comparison","wan role","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","Which device is usually best for fast routing inside a LAN or campus?","Layer 3 switch","Hub","Wireless client","Patch panel","A","Layer 3 switches are commonly used for high-speed internal routing in campus networks.","layer 3 switch","campus role","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What does a Layer 2 switch mainly forward?","Frames","Packets","Radio waves","Routes","A","A Layer 2 switch forwards Ethernet frames.","layer 2 switch","forwarded unit","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What does a router or Layer 3 switch mainly route?","Packets","Bits","Beacon frames only","Cable labels","A","Layer 3 devices route IP packets between networks.","routing fundamentals","forwarded unit","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What OSI layer is primarily associated with IP routing?","Layer 3","Layer 1","Layer 2","Layer 7","A","IP routing is a Layer 3 Network layer function.","osi model","routing layer","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
"easy","What OSI layer is primarily associated with MAC-based switching?","Layer 2","Layer 3","Layer 4","Layer 6","A","MAC-based switching happens at the Data Link layer, which is Layer 2.","osi model","switching layer","courses/NETC-121/notes-content/Notes List A - Video Content/Video 26 - Layer 2 vs Layer 3 Switches/Transcript.md"
