difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What does ICMP stand for?,Internet Control Message Protocol,Internal Communication Mode Protocol,IP Collision Management Protocol,Inter-network Control Method Protocol,A,ICMP (Internet Control Message Protocol) supports diagnostic tools like ping and tracert/traceroute.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which delivery mode sends a frame to every device on the local network segment?,Unicast,Multicast,Broadcast,Anycast,C,Broadcast delivers to all local hosts using destination MAC FF:FF:FF:FF:FF:FF.,broadcast,one sender to all local hosts using destination mac ff:ff:ff:ff:ff:ff,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 1 - Unicast, Broadcast, Multicast/Broadcast.md
easy,What does FCS stand for in an Ethernet frame?,Frame Check Sequence,Forwarding Control System,Fast Collision Stop,Frame Content Standard,A,FCS (Frame Check Sequence) is the Ethernet trailer field that carries the CRC for error detection.,crc/fcs role,frame-level corruption detection,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Frame Fields.md
easy,In the TCP/IP model which layer maps to OSI Application Presentation and Session combined?,Transport,Internet,Network Access,Application,D,The TCP/IP Application layer collapses the three upper OSI layers into one.,tcp/ip to osi mapping,tcp/ip application maps to osi application/presentation/session,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which command-line tool tests basic network reachability using ICMP Echo Requests?,tracert,netstat,ipconfig,ping,D,The ping command sends ICMP Echo Requests and reports whether a remote host responded.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
easy,Which delivery mode sends traffic from one sender to exactly one specific receiver?,Broadcast,Multicast,Unicast,Anycast,C,Unicast is a one-to-one transmission — a single sender communicates with a single named receiver.,unicast,one sender to one receiver,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 1 - Unicast, Broadcast, Multicast/Unicast.md
medium,Which media access method does Wi-Fi use to reduce collisions?,CSMA/CD,CSMA/CA,Token Passing,TDMA,B,CSMA/CA (Collision Avoidance) is used in wireless where collision detection is not feasible.,csma/ca,collision-avoidance access model used in wireless contexts,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 3 - CSMA-CD and CSMA-CA/CSMA-CA.md
medium,What happens to MAC addresses when a packet crosses a router boundary?,They are preserved end-to-end across the entire path,They are replaced at each router hop (hop-local),They are permanently stripped and not used beyond the first router,They are stored in the routing table for reuse,B,MAC addresses are hop-local — each router replaces source and destination MAC for the next link.,mac boundary at router,mac addresses are hop-local and do not traverse subnets end-to-end,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
medium,What is encapsulation in the context of networking?,Compressing data to reduce transmission overhead,Wrapping higher-layer data with lower-layer headers and trailers for transmission,Encrypting packet payloads before they leave the host,Splitting large frames into smaller segments,B,Encapsulation adds lower-layer headers and trailers around higher-layer data as it moves down the protocol stack.,encapsulation,higher-layer data wrapped by lower-layer headers/trailer for transmission,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Encapsulation.md
medium,Which Ethernet frame fields appear before the data payload?,Type/Length only,FCS and Preamble only,Destination MAC; source MAC; and Type/Length,Source MAC and FCS,C,An Ethernet frame begins with destination MAC; source MAC; and Type/Length fields before the payload data.,ethernet frame structure,destination mac; source mac; type/length; payload; fcs,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/Frame Fields.md
medium,What does CSMA/CD do after detecting a collision?,Ignores the collision and retransmits immediately,Waits a random backoff period before retransmitting,Drops all pending traffic permanently,Switches the affected port to full-duplex mode,B,CSMA/CD detects collisions then applies random backoff timing before retransmitting to reduce repeat collisions.,csma/cd,collision handling model for shared half-duplex ethernet media,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 3 - CSMA-CD and CSMA-CA/CSMA-CD.md
medium,How does tracert identify each router hop along the network path?,By performing a DNS lookup at each hop,By sending packets with incrementing TTL values and collecting ICMP Time Exceeded replies,By using ARP to discover each gateway,By completing a TCP handshake with each router,B,tracert increments TTL by 1 per probe; each router that drops the packet sends an ICMP Time Exceeded revealing its address.,icmp tooling,ping; tracert; traceroute for reachability/path diagnostics,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
hard,Why does Ethernet use CRC in the FCS trailer rather than a simple byte checksum?,CRC is computed faster on modern silicon than a checksum,CRC provides stronger mathematical error detection catching more burst error patterns than a simple sum,CRC is required by the IPv6 specification for frame validation,CRC also encrypts the frame payload for confidentiality,B,CRC (Cyclic Redundancy Check) uses polynomial division to detect a wider range of bit errors than a simple additive checksum.,crc/fcs role,frame-level corruption detection,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 2 - Ethernet Frame Structure/CRC Error Detection.md
medium,What is the fundamental operational difference between CSMA/CD and CSMA/CA?,CD is used on wireless; CA is used on wired Ethernet,CD detects collisions after they occur and backs off; CA tries to avoid collisions before transmitting,CD is used only on fiber links; CA applies to copper,The two mechanisms are functionally identical in modern networks,B,CSMA/CD is reactive — it detects collisions after they happen. CSMA/CA is proactive — it listens and waits before sending.,csma/cd,collision handling model for shared half-duplex ethernet media,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 3 - CSMA-CD and CSMA-CA/CSMA-CD.md
hard,Why is multicast more efficient than broadcast for video streaming to a subset of devices?,Multicast sends fewer bytes per stream than unicast,Multicast targets only subscribed receivers reducing unnecessary traffic on the network,Multicast is limited to 10 Mbps so routers throttle it,Multicast requires a dedicated VLAN which isolates it,B,Multicast delivers to a defined group — devices not subscribed never receive the frames; broadcast hits everyone.,multicast,one sender to selected group,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 1 - Unicast, Broadcast, Multicast/Multicast.md
medium,In the TCP/IP model which layer encapsulates the OSI Data Link and Physical layers together?,Application,Transport,Internet,Network Access,D,TCP/IP Network Access (also called Link) layer covers the functions of both OSI Layer 1 and Layer 2.,network access mapping,tcp/ip network access maps to osi data link + physical,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 3/Week 3 Notes.md
