difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What best describes a static route?,A route learned automatically from neighbors,A route entered manually by an administrator,A route created only by ARP,A route used only inside switches,B,A static route is manually configured instead of being learned dynamically.,static route definition,manual route entry,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What does a router primarily examine to decide where to forward a packet?,Destination IP address,Source MAC address,Ethernet FCS only,VLAN name,A,Routers make forwarding decisions by checking the destination IP address against the routing table.,router forwarding basis,destination ip lookup,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is the purpose of a routing table?,To store usernames and passwords,To list known networks and how to reach them,To map switch ports to MAC addresses,To assign subnet masks automatically,B,A routing table lists destination networks and the path information used to reach them.,routing table purpose,known networks and paths,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,"When a host sends traffic to a destination on a remote subnet, which device on the local network receives the Ethernet frame first?",To the final destination host,To the default gateway,To the nearest DNS server,To the ARP broadcast address,B,Hosts normally send remote traffic to the default gateway so the router can forward it onward.,default gateway role,remote traffic to gateway,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,How does a host usually send traffic to a destination on the same subnet?,To the default gateway first,Directly to the destination host,To the routing protocol process,To a loopback interface,B,Traffic for the local subnet is normally sent directly to the destination host rather than to the gateway.,local delivery,same subnet direct send,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What route source appears automatically when a router interface is configured with an IP address and mask?,Floating static route,Connected route,Host route,Default route,B,A connected route is created automatically when the interface is configured.,connected route,automatic route creation,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is the job of a default route?,To match only one exact host,To catch traffic when no more specific route exists,To replace ARP on the local LAN,To prevent administrative distance from being used,B,A default route is the catch-all path used when no more specific route matches.,default route purpose,catch all route,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,"On a router, what does the term gateway of last resort refer to?",The ARP cache,The default route,The loopback address,The MAC address table,B,Gateway of last resort is another way to describe the router's default route.,gateway of last resort,default route meaning,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What does next hop mean in routing?,The original sender of the packet,The next router or interface that should receive the packet,The destination MAC address of the final host,The VLAN assigned to the packet,B,The next hop is the next routing device or interface the packet should be sent to.,next hop,next router in path,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What kind of static route points to an entire subnet?,Network static route,Host static route,Floating static route,Loopback route,A,A network static route is used to reach a whole subnet.,static route types,network route,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What kind of static route points to one exact destination host?,Connected route,Default route,Host static route,Summary route,C,A host static route identifies one exact host rather than a whole subnet.,static route types,host route,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is a floating static route?,A backup static route with a higher administrative distance,A connected route that moves between interfaces,A switch MAC entry that has aged out,A dynamic route learned from an ISP,A,A floating static route is a standby static route that becomes useful if the preferred route disappears.,floating static route,backup static path,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What does administrative distance measure?,Cable length between routers,Trustworthiness of a route source,Speed of ARP replies,Number of hosts in a subnet,B,Administrative distance ranks how trustworthy one route source is compared with another.,administrative distance,route source trust,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,Which administrative distance is preferred by a router?,The highest value,The lowest value,Any odd number,Any even number,B,Lower administrative-distance values are preferred over higher ones.,administrative distance,lower is preferred,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What administrative distance is associated with a connected route?,0,1,90,110,A,Connected routes have the best administrative distance because they are directly attached.,connected route distance,ad zero,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What administrative distance is associated with a normal static route?,0,1,20,120,B,A normal static route uses an administrative distance of 1.,static route distance,ad one,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,Why are routes often needed in both directions?,Because ARP requires a reverse broadcast,Because communication must work for return traffic too,Because switches reject one-way traffic,Because VLANs require paired routes,B,A working outbound path does not guarantee the replies can come back.,bidirectional routing,return path required,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is a common weakness of static routing?,It scales poorly as networks grow,It removes route control,It cannot use IP addresses,It requires no planning,A,Static routing becomes harder to maintain as the network gets larger.,static routing weakness,poor scalability,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What does ARP map on a local network?,IP address to MAC address,Port number to VLAN ID,Subnet mask to gateway,Host name to DNS zone,A,ARP resolves an IP address to the corresponding MAC address on the local link.,arp purpose,ip to mac mapping,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What kind of frame is an ARP request?,Unicast,Broadcast,Anycast,Loopback,B,An ARP request is sent as a broadcast to ask who owns a target IP address.,arp request,broadcast behavior,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What kind of frame is an ARP reply usually sent as?,Multicast,Unicast,Broadcast,Flooded unknown unicast,B,An ARP reply is typically sent as a unicast back to the requester.,arp reply,unicast behavior,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,"Before a host or router can send an Ethernet frame on the local network, which destination-address value must the device know?",The routing protocol metric,The correct local destination MAC address,The switch priority,The remote host CPU speed,B,A device needs the local destination MAC address so it can build the Layer 2 header.,layer 2 delivery,need destination mac,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,Which layer provides hop-by-hop delivery on the local link?,Layer 1,Layer 2,Layer 3,Layer 7,B,Layer 2 is responsible for local link delivery from one hop to the next.,layer roles,layer 2 hop by hop,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,Which layer provides end-to-end logical addressing across routed networks?,Layer 1,Layer 2,Layer 3,Layer 5,C,Layer 3 uses IP addresses for end-to-end delivery across networks.,layer roles,layer 3 end to end,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is the correct direction of encapsulation before transmission?,Frame to packet to segment to data,Data to segment to packet to frame,Packet to data to frame to segment,Bits to frame to packet to data,B,"Data is encapsulated by the transport layer, then network layer, then data-link layer before transmission.",encapsulation,data to frame order,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is the correct direction of decapsulation after reception?,Frame to packet to segment to application data,Packet to frame to application data,Data to frame to segment,Segment to bits to frame,A,The receiving host removes headers in reverse order from frame to packet to segment to application data.,decapsulation,reverse header removal,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What usually happens to a packet while ARP is resolving the needed local MAC address?,It is discarded permanently,It waits until the MAC is known,It is converted into a BPDU,It is sent without a Layer 2 header,B,Traffic normally waits while the device learns the required MAC address.,arp dependency,packet waits for arp,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What does a router mainly do when forwarding traffic?,It forwards packets between interfaces,It assigns VLANs to hosts,It runs spanning tree for switches,It replaces DNS servers,A,A router's main job is to forward packets from one interface to another.,router role,forwards between interfaces,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
easy,What is the main benefit of dynamic routing protocols?,They remove the need for IP addressing,They let routers automatically share route information,They replace Ethernet with serial links,They turn switches into routers,B,Dynamic routing protocols allow routers to exchange route information automatically.,dynamic routing,automatic route sharing,/home/citadel/Documents/citavault/NETC-121/rocket-questions-html/notes-content/MASTER LIST/Weekly AI Master Lists/Week 11 - AI Master List.md
