difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
medium,What formula gives the number of usable host addresses in a subnet?,2^n,2^n + 2,2^n - 2,2^(n-1),C,Usable hosts = 2^n - 2 because the network address and broadcast address cannot be assigned to hosts.,usable host math,2^n - 2 model for assignable hosts in subnet,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 7 - Subnetting/Subnetting.md
easy,What does NAT do for devices using private IP addresses?,Assigns DNS names to private devices,Translates private IP addresses into public IPs for internet access,Encrypts all outbound network traffic,Replaces the need for DNS lookups on private networks,B,NAT (Network Address Translation) converts RFC1918 private addresses to a public IP so devices can reach the internet.,nat purpose,private-to-public translation for internet access,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 9 - CIDR and IP Addressing/Public and Private IP Addresses.md
easy,What does an IPv4 address with all host bits set to binary 0 represent?,The first usable host address,The broadcast address for that subnet,The network (subnet) identifier address,The default gateway address,C,All host bits = 0 means the address is the network identifier — it cannot be assigned to a host.,network address rule,host bits all 0 represent subnet identifier,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 7 - Subnetting/Subnetting.md
easy,Which IP address in this list is publicly routable on the internet?,192.168.1.1,10.0.0.5,172.16.0.1,8.8.8.8,D,8.8.8.8 (Google DNS) is a public IP. The other three are RFC1918 private ranges not routed on the internet.,public vs private ipv4,routable internet space vs rfc1918 internal ranges,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 9 - CIDR and IP Addressing/Public and Private IP Addresses.md
easy,What is the decimal equivalent of the binary value 10000000 as it appears in an IPv4 address or subnet mask?,64,128,192,255,B,Binary 10000000 = 128 (only the 2^7 bit is set: 128+0+0+0+0+0+0+0). This bit pattern appears in IPv4 subnet masks such as 255.128.0.0.,binary place-value math,octet conversion between binary and decimal for subnet calculations,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 8 - Binary Math and Subnetting/Binary Math.md
easy,What mechanism does TCP use to confirm segments have been received?,SYN flags,Acknowledgements (ACKs),UDP datagrams,ICMP Echo Replies,B,TCP sends ACK messages to confirm receipt of segments and triggers retransmission if an ACK is not received.,tcp behavior,reliable sequencing; ack-driven retransmission; and handshake control,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 5/UDP vs TCP.md
medium,What does CIDR notation replace in classful IPv4 addressing?,The MAC address OUI,Rigid Class A/B/C mask rules with flexible prefix-length notation,The need for a default gateway,ARP broadcasts on subnets,B,CIDR (Classless Inter-Domain Routing) uses /prefix notation allowing any mask length instead of fixed class boundaries.,cidr model,classless prefix-length notation enables flexible subnet sizing,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 9 - CIDR and IP Addressing/CIDR.md
medium,Which transport protocol sends datagrams with no connection setup and no delivery guarantee?,TCP,SCTP,UDP,QUIC,C,UDP is connectionless — it sends datagrams without a handshake ACKs or retransmission making it lightweight but unreliable.,udp behavior,connectionless low-overhead delivery with no reliability guarantees,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 5/UDP vs TCP.md
medium,What is the role of TTL in an IPv4 packet header?,Sets the packet's QoS priority level,Limits the number of router hops by decrementing at each router until zero causes discard,Identifies which upper-layer transport protocol is encapsulated,Specifies the total length of the IP payload,B,TTL (Time To Live) decrements at each router hop; zero TTL causes the packet to be dropped preventing routing loops.,packet header essentials,ttl; protocol field; addressing; and fragmentation controls,/home/citadel/Documents/NETC-121/Notes List C - Personal Notes/Lecture Week 5/Packet Headers and Transmission.md
medium,How many usable hosts does a /25 subnet provide?,256,254,128,126,D,A /25 has 7 host bits: 2^7 = 128 minus 2 (network and broadcast) = 126 usable hosts.,usable host math,2^n - 2 model for assignable hosts in subnet,/home/citadel/Documents/NETC-121/Notes List A - Video Content/Video 8 - Binary Math and Subnetting/Subnetting.md
