difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What does STP stand for?,Spanning Tree Protocol,Secure Transfer Protocol,Switch Topology Process,Segment Trunk Protocol,A,STP stands for Spanning Tree Protocol.,stp name,spanning tree protocol full name,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,What is the main purpose of STP on a switched network?,To assign IP addresses automatically,To prevent Layer 2 loops on redundant links,To encrypt switch management traffic,To speed up DNS lookups,B,STP exists to prevent Layer 2 loops while still allowing redundancy.,stp purpose,prevents layer 2 loops,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,Why do network designers use redundant links between switches?,To lower MAC address size,To provide failover if one link fails,To disable BPDUs,To remove the need for VLANs,B,Redundant links improve availability because another path can take over after a failure.,redundancy benefit,failover path benefit,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 8/STP - Spanning Tree Protocol.md
easy,What major problem can a Layer 2 loop create?,Broadcast storm,Subnet mask mismatch,ARP table expiration,NAT overload,A,Loops can cause frames to circulate repeatedly and create a broadcast storm.,loop problem,broadcast storm risk,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,How does a switch handle a broadcast frame in the same VLAN?,It sends it only to the default gateway,It drops it immediately,It floods it out all ports except the port it arrived on,It converts it to multicast,C,Switches flood broadcasts through the VLAN except back out the ingress port.,broadcast flooding,switch broadcast behavior,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,What does a switch do with an unknown unicast frame?,It floods it out all ports except the ingress port,It sends it only to the root bridge,It drops it because the MAC is unknown,It rewrites the destination MAC,A,Unknown unicast traffic is flooded until the destination location is learned.,unknown unicast,flooding for unknown destination,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,What messages do switches exchange to run STP?,DHCP offers,BPDUs,ARP requests,ICMP echoes,B,STP uses BPDUs to exchange topology information.,bpdu role,stp control message type,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 8/STP - Spanning Tree Protocol.md
easy,What value is used first to elect the root bridge?,Highest interface speed,Lowest Bridge ID,Lowest subnet mask,Highest VLAN number,B,The switch with the lowest Bridge ID becomes the root bridge.,root election,lowest bridge id wins,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,Which two things make up the classic Bridge ID?,IP address and subnet mask,Port number and VLAN name,Bridge priority and MAC address,MTU and duplex setting,C,Bridge ID is based on bridge priority and MAC address.,bridge id parts,priority plus mac,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 8/STP - Spanning Tree Protocol.md
easy,On a non-root switch which port is chosen as the best path toward the root bridge?,Designated port,Root port,Backup port,Edge port,B,Each non-root switch selects one root port toward the root bridge.,root port,best path to root,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,What is a designated port in STP?,A port used only for management traffic,A port chosen to forward traffic for a segment toward the root,A port that always blocks user traffic,A port that disables VLAN tagging,B,Each Layer 2 segment has one designated port that forwards for that segment.,designated port,segment forwarding role,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,What happens to a redundant port that is neither a root port nor a designated port?,It becomes blocking,It becomes the root bridge,It starts routing IP traffic,It disables STP,A,Redundant ports not selected for forwarding are placed into blocking state.,blocked port,redundant port blocks,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,Does a blocked STP port forward normal user traffic?,Yes always,Only broadcasts,No,Only unknown unicasts,C,Blocked ports do not forward normal data traffic.,blocked port behavior,no user traffic forwarding,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 18 - Spanning Tree Protocol Explained Step by Step/Transcript.md
easy,Can a blocked STP port still listen for BPDUs?,No never,Yes,Only every 15 seconds,Only on VLAN 1,B,Blocked ports still receive and process STP control information.,blocked bpdu behavior,blocked port still processes bpdus,/home/citadel/Documents/citavault/NETC-121/Notes List C - Personal Notes/Lecture Week 8/STP - Spanning Tree Protocol.md
